,galaxy_id,is_AGN,flux_75,flux_25,vmed_75,vmed_25,W80_75,W80_25,mean_gauss
0,7443-12701,0.0,0.621792509034,0.621792509034,35.4632588364,35.4632588364,293.073938847,293.073938847,1.4380952381
1,7495-12701,0.0,0.735242808252,0.735242808252,164.492743867,164.492743867,340.773406625,340.773406625,1.36016949153
2,7815-12701,0.0,1.08695145826,1.08695145826,8.84652357834,8.84652357834,204.363526836,204.363526836,1.17457627119
3,8341-12701,0.0,1.69177504064,1.69177504064,26.4252196988,26.4252196988,210.236835354,210.236835354,1.26607142857
4,8329-12701,0.0,0.335729934736,0.335729934736,18.7974903307,18.7974903307,255.049078107,255.049078107,1.10795180723
5,8319-12701,0.0,13.3681320548,13.3681320548,71.2181265206,71.2181265206,283.380553385,283.380553385,1.30188679245
6,8243-12701,0.0,0.499687749605,0.499687749605,20.5449955856,20.5449955856,243.299412383,243.299412383,1.16397415186
7,8439-12701,0.0,0.598925710781,0.598925710781,24.8641821166,24.8641821166,223.738714098,223.738714098,1.1718061674
8,8602-12701,0.0,0.938627154315,0.938627154315,26.0949686548,26.0949686548,277.394967135,277.394967135,1.19976905312
9,8615-12701,0.0,1.00335591187,1.00335591187,2.7542823738,2.7542823738,222.954097679,222.954097679,1.1857000993
10,7991-12701,0.0,1.70583971017,1.70583971017,-121.546614479,-121.546614479,220.143315255,220.143315255,1.27310231023
11,7977-12701,0.0,1.03560182082,1.03560182082,-191.647310673,-191.647310673,379.403671007,379.403671007,1.55177407676
12,7975-12701,0.0,2.69884660449,2.69884660449,-42.6465480829,-42.6465480829,188.109459651,188.109459651,1.36086956522
13,7990-12701,0.0,0.771316695352,0.771316695352,15.2400847789,15.2400847789,193.897822097,193.897822097,1.17094017094
14,8459-12701,0.0,4.86830905328,4.86830905328,27.0482482768,27.0482482768,177.113229007,177.113229007,1.33898305085
15,8483-12701,0.0,0.860886948077,0.860886948077,-3.52940444958,-3.52940444958,210.545601269,210.545601269,1.19329896907
16,8317-12701,0.0,3.12851429286,3.12851429286,11.7637284201,11.7637284201,502.020927601,502.020927601,1.53691275168
17,8261-12701,0.0,0.769801876919,0.769801876919,-17.1198422456,-17.1198422456,373.465434037,373.465434037,1.26808510638
18,8451-12701,0.0,3.66665808202,3.66665808202,-66.3973356432,-66.3973356432,446.792275227,446.792275227,1.90773809524
19,8482-12701,0.0,4.54307784525,4.54307784525,29.9758011448,29.9758011448,281.098756847,281.098756847,1.15511551155
20,8082-12701,0.0,0.422270873895,0.422270873895,2.79651782542,2.79651782542,212.227551443,212.227551443,1.17788802268
21,8143-12701,0.0,0.674723725985,0.674723725985,-9.18530346489,-9.18530346489,586.701277968,586.701277968,1.62222222222
