Unnamed: 0,galaxy_id,is_AGN,flux_75,flux_25,vmed_75,vmed_25,W80_75,W80_25,mean_gauss,lum_25,lum_75
0,7443-12701,0.0,0.813901004307,0.106106174159,52.7156550029,25.1597444592,412.140575089,86.2619808326,1.4380952381,-19.5119,-16.42135
1,7495-12701,0.0,0.498458330156,0.122136066097,226.437699735,124.60063903,402.256389785,212.360223647,1.36016949153,-20.99495,-17.7114
2,7815-12701,0.0,0.628854979474,0.172726754082,47.9233227344,-26.3578274269,210.862619813,184.504792336,1.17457627119,-17.71335,-15.79005
3,8341-12701,0.0,0.981850688165,0.219519058447,116.21405756,-44.6285942005,207.268370612,188.099041538,1.26607142857,-18.87955,-16.6745
4,8329-12701,0.0,0.268010241943,0.151553275601,107.228434557,-62.899360974,265.9744409,190.495207672,1.10795180723,-21.70595,-19.0382
5,8319-12701,0.0,0.141499734549,0.0304547993057,180.910543185,33.8458466958,119.808306712,29.0535143776,1.30188679245,-22.57195,-18.29265
6,8243-12701,0.0,0.353927907271,0.186430566762,128.194888231,-71.8849839774,258.785942498,189.297124605,1.16397415186,-22.23275,-19.1218
7,8439-12701,0.0,0.350215331939,0.139939851802,68.2907348755,-13.1789136886,221.645367417,185.702875403,1.1718061674,-18.14425,-15.89215
8,8602-12701,0.0,0.468265717294,0.12487597939,74.2811502111,-35.6429711971,359.424920136,176.118210866,1.19976905312,-22.32065,-18.6377
9,8615-12701,0.0,0.316893455052,0.139183959525,77.2763578789,-76.6773162459,237.22044729,165.335463262,1.1857000993,-21.6065,-18.95145
10,7991-12701,0.0,2.08299529887,0.395588831438,-28.7539935612,-214.456868965,226.437699685,200.079872209,1.27310231023,-20.6972,-18.5073
11,7977-12701,0.0,0.719218343892,0.122308514589,-55.1118210378,-382.188498361,491.214057519,194.089456873,1.55177407676,-22.1145,-19.91625
12,7975-12701,0.0,0.136655205985,0.0164846672791,29.6525559609,-110.223642125,215.654952081,27.5559105437,1.36086956522,-22.1267,-17.6463
13,7990-12701,0.0,0.176528632766,0.0983907993128,33.546325929,-3.59424915167,222.843450484,137.779552719,1.17094017094,-20.00405,-17.66675
14,8459-12701,0.0,0.0978601073225,0.0334815888825,140.175718903,-36.5415334974,137.180511185,37.1405750807,1.33898305085,-21.54815,-17.6453
15,8483-12701,0.0,1.12834136745,0.206552913098,57.5079872714,-57.507987172,220.44728435,191.693290739,1.19329896907,-19.80765,-18.03205
16,8317-12701,0.0,0.906359127867,0.0627437586253,75.4792332782,-37.140575031,806.309904171,55.1118210875,1.53691275168,-22.9861,-18.519
17,8261-12701,0.0,0.599277129925,0.0842920007927,81.4696486138,-159.345047877,597.244408959,88.6581469668,1.26808510638,-21.8274,-17.44975
18,8451-12701,0.0,2.72927958069,0.29997534422,56.6094249711,-173.722044683,608.626198096,291.13418531,1.90773809524,-23.50935,-20.1282
19,8482-12701,0.0,0.643609580151,0.136971214081,60.5031949392,-3.59424915167,386.980830679,149.76038339,1.15511551155,-22.84505,-18.5288
20,8082-12701,0.0,0.331494772794,0.179107529801,87.4600639494,-74.2811501117,221.645367417,182.108626202,1.17788802268,-20.73785,-18.0161
21,8143-12701,0.0,0.627425887622,0.0325732800137,42.8314696992,-24.5607028262,1289.43690099,57.5079872217,1.62222222222,-22.7998,-18.3831
22,8256-12701,0.0,0.692132214391,0.117266884895,94.6485623521,-24.2611820595,227.635782753,183.306709269,1.30357142857,-18.57395,-15.92965
23,8249-12701,0.0,1.03161778821,0.169062607775,117.412140627,-43.1309903666,219.249201283,192.891373806,1.19808306709,-18.24975,-16.28025
24,8274-12701,0.0,0.600857054339,0.119267205062,92.2523962178,-18.5702874907,230.930511187,174.021565499,1.18161434978,-18.57395,-15.92965
25,8258-12701,0.0,0.324732366956,0.146665722255,28.7539936605,-62.3003194405,226.437699685,182.108626202,1.17976470588,-19.70285,-17.3256
26,8252-12701,0.0,1.46019935441,0.182819903044,16.7731629894,2.39616618393,201.277955276,183.306709269,1.16666666667,-17.59725,-16.1778
27,8259-12701,0.0,1.10870582892,0.301513435732,55.1118211372,-39.5367411652,204.872204477,188.099041538,1.12406271302,-18.1362,-16.37945
28,8244-12701,0.0,0.132923924652,0.0108260283393,89.8562300836,-104.23322679,138.977635786,19.1693290739,1.85308953342,-22.1014,-17.51735
29,8257-12701,0.0,3.50630886134,0.377815807651,73.0830671439,-10.7827475544,264.776357833,213.258785947,1.39217134417,-21.02135,-19.06635
30,8440-12701,0.0,0.243042309798,0.11525109275,59.9041534056,-74.2811501117,250.399361028,176.118210866,1.13371266003,-21.3852,-18.1158
31,8453-12701,0.0,0.156181887324,0.0842286671031,94.6485623521,-13.1789136886,221.645367417,118.610223645,1.1344,-20.18125,-17.58895
32,8611-12701,0.0,0.653859637034,0.223867267066,62.3003195399,-21.5654951585,210.862619813,180.910543135,1.09990043146,-19.33115,-17.2673
33,8131-12701,0.0,0.992520507318,0.197860249598,61.1022364727,-32.3482427625,210.862619813,189.297124605,1.20280332895,-18.9794,-16.99095
34,8138-12701,0.0,0.366502833763,0.110394224557,62.3003195399,-32.3482427625,213.258785947,174.920127799,1.17042330951,-20.04095,-18.01665
35,8081-12701,0.0,0.381983305733,0.0632217858241,120.407348295,-52.11661337,293.530351444,54.5127795539,1.15695067265,-22.90855,-18.8246
36,8452-12701,0.0,0.254336651127,0.110336669678,44.3290735331,-2.39616608455,202.476038343,150.958466457,1.1209039548,-19.27885,-17.26755
37,8132-12701,0.0,0.089009593538,0.0170029039375,115.31549526,-124.600638931,175.219648566,25.1597444095,1.50925925926,-22.65925,-18.22415
38,8134-12701,0.0,0.342825655164,0.13628340921,51.5175719358,-31.1501596954,218.051118216,183.306709269,1.14109647259,-18.75245,-16.8574
39,8137-12701,0.0,0.353516233545,0.101062690484,97.0447284863,-70.6869009103,214.456869014,170.726837064,1.07204116638,-18.9505,-16.38315
40,8247-12701,0.0,0.764353955896,0.180551113505,28.7539936605,-31.1501596954,225.239616618,192.891373806,1.15193133047,-18.04675,-16.18825
41,8140-12701,0.0,0.0445158743773,0.0169431345068,44.3290735331,-21.5654951585,68.2907348258,19.1693290739,1.05882352941,-20.4665,-16.159
42,8626-12701,0.0,0.33409796203,0.102586245793,175.219648616,-13.1789136886,322.284345055,146.166134188,1.13043478261,-20.3922,-16.22085
43,8250-12701,0.0,0.536412895421,0.123315302362,-2.39616608455,-183.306709219,556.21006391,163.837859428,1.43243243243,-22.2545,-18.06465
44,8612-12701,0.0,0.510074052924,0.167407843875,73.6821086775,-92.2523961185,215.654952081,177.915335467,1.16,-18.47025,-16.05035
45,8616-12701,0.0,0.232144208978,0.0549034234923,88.0591054829,-150.658945641,455.571086272,79.9720447302,1.985,-23.1214,-19.1054
46,8141-12701,0.0,0.797164570752,0.294741139778,135.682907401,-47.9233226351,231.230031954,198.881789142,1.17115027829,-20.73505,-18.0122
47,8253-12701,0.0,0.310485575852,0.110350844777,99.4408946205,-117.711661295,225.239616618,167.43210863,1.17675159236,-19.6302,-16.1393
48,8263-12701,0.0,0.387449827587,0.168984507519,67.0926518083,-55.1118210378,233.626198088,188.099041538,1.09940526763,-19.407,-16.4751
49,8254-12701,0.0,0.232862270435,0.115192050948,58.7060703385,-20.3674120913,258.785942498,146.465654955,1.2245508982,-19.93105,-16.9711
50,8448-12701,0.0,0.118096446474,0.0656125807858,-47.9233226351,-95.8466453198,122.204472846,74.2811501614,1.32142857143,-22.21965,-17.96415
51,8548-12701,0.0,0.361949021704,0.114084472937,23.9616613921,-167.731629347,335.463258793,188.099041538,1.18762088975,-20.92775,-17.66155
52,8465-12701,0.0,0.514204069444,0.199069493379,46.7252396673,-13.1789136886,239.616613424,188.099041538,1.12318286151,-20.27435,-18.26645
53,8325-12701,0.0,0.277532173184,0.144973373487,89.8562300836,-50.3194887693,225.239616618,173.722044732,1.20576368876,-19.72885,-17.58645
54,8555-12701,0.0,0.13196366856,0.0539516373812,49.1214058016,-62.899360974,159.94408946,28.7539936109,1.51231527094,-24.14625,-19.81665
55,8485-12701,0.0,1.13637171786,0.180281410555,57.5079872714,-16.77316289,206.070287544,179.712460068,1.20278450363,-18.739,-17.21035
56,8551-12701,0.0,0.459729800227,0.167936181176,101.537539988,-81.4696485144,273.162939303,189.297124605,1.2330905307,-21.422,-18.65475
57,8484-12701,0.0,0.818657296524,0.0277188580895,168.929712513,-29.9520766283,100.638977638,13.1789137383,1.84306569343,-22.5977,-18.2629
58,8447-12701,0.0,0.716727656693,0.249754077614,65.8945687412,-32.3482427625,225.239616618,184.504792336,1.20839469809,-20.63325,-18.3362
59,8486-12701,0.0,0.24777175208,0.0893512379619,113.817891426,-105.431309857,313.897763585,124.001597447,1.19627749577,-22.8181,-19.11155
60,8318-12701,0.0,0.883054488056,0.164890880947,118.310702928,-108.726038291,470.247603844,105.431309906,1.26551724138,-22.97845,-18.6401
61,8466-12701,0.0,0.697101220356,0.168338128734,62.0007987731,-40.7348242324,222.843450484,184.804313103,1.10544217687,-18.81065,-16.24395
62,8554-12701,0.0,0.21715738792,0.106814914136,146.166134238,-34.7444088968,279.153354639,159.345047927,1.34207240949,-22.18475,-19.3604
63,8464-12701,0.0,0.206060194078,0.106903172207,77.8753994124,-59.9041533063,216.853035149,154.552715658,1.22880215343,-19.88795,-17.2899
64,8320-12701,0.0,0.537583180413,0.142787493015,71.2859425433,-74.2811501117,219.249201283,178.514377001,1.23083700441,-19.22385,-17.14145
65,8312-12701,0.0,0.748185016499,0.173859020845,29.9520767277,-16.77316289,202.476038343,176.118210866,1.15183571873,-21.98855,-20.1242
66,8550-12701,0.0,0.457498079863,0.137502118119,91.0543131507,-92.2523961185,303.115015981,180.910543135,1.15468940317,-22.01655,-17.8943
67,8335-12701,0.0,0.203301873173,0.109749139522,146.166134238,-94.6485622527,251.597444095,154.552715658,1.2052154195,-21.3321,-18.248
68,7957-12701,0.0,0.392007149035,0.132497764204,45.5271566002,-33.5463258296,218.051118216,172.523961665,1.15796178344,-19.64585,-17.9568
69,8313-12701,0.0,0.898563369352,0.273206750982,-35.9424919639,-222.843450434,231.230031954,196.485623007,1.14742698192,-20.99875,-18.6037
70,7962-12701,0.0,0.491456209811,0.166602448204,34.7444089961,-2.39616608455,221.645367417,183.306709269,1.15083798883,-19.47375,-17.34255
71,8330-12701,0.0,0.461991000618,0.207881819667,104.233226889,-40.7348242324,216.853035149,166.53354633,1.21425109064,-20.7567,-18.3632
72,8315-12701,0.0,0.161450315102,0.0457016930997,-41.3338657659,-110.822683659,104.233226839,37.7396166142,1.28571428571,-21.6753,-17.83735
73,8604-12701,0.0,0.216299249481,0.114988189557,65.8945687412,-31.1501596954,258.785942498,155.750798725,1.13405088063,-22.47055,-18.84905
74,8332-12701,0.0,0.797163332384,0.25922731172,49.1214058016,-31.1501596954,203.67412141,182.108626202,1.1222826087,-20.0262,-18.16855
75,7992-12701,0.0,0.571162738678,0.155187471453,79.0734824795,-9.58466448726,207.268370612,162.939297128,1.15367483296,-22.3286,-17.88905
76,8603-12701,0.0,0.644266310146,0.156138318697,98.2428115534,-79.0734823802,1196.88498405,239.616613424,1.99115044248,-22.785,-18.7303
77,7960-12701,0.0,0.333792693656,0.165456619692,83.865814748,-58.7060702391,232.428115021,182.108626202,1.12376873662,-21.3824,-18.85985
78,8655-12701,0.0,0.387396895059,0.142787976796,34.7444089961,-35.9424919639,212.06070288,161.741214061,1.09635722679,-19.07585,-16.87225
79,8623-12701,0.0,0.509797947172,0.107922610467,3.59424925104,-25.1597443598,206.070287544,171.325878598,1.24382207578,-18.7449,-16.68635
80,8156-12701,0.0,0.511623289158,0.0812197266442,26.3578275263,-252.496006346,391.473642181,142.871405754,1.12051282051,-22.62605,-19.4739
81,8567-12701,0.0,0.292611792217,0.172501634498,40.7348243317,-20.3674120913,234.824281155,174.920127799,1.09984871407,-20.45385,-17.93205
82,8077-12701,0.0,0.279800453382,0.148553016803,55.1118211372,-19.1693290242,200.079872209,136.581469652,1.13321332133,-19.52115,-17.49135
83,8086-12701,0.0,0.126188812435,0.0702644885574,21.5654952578,-76.6773162459,229.73242812,141.37380192,1.17605633803,-19.20485,-16.6635
84,8566-12701,0.0,0.0987542003148,0.0247301999289,80.8706070802,-86.8610223164,128.194888182,37.7396166142,1.61904761905,-22.35505,-17.94455
85,8155-12701,0.0,0.297308418862,0.113224847849,112.619808359,2.39616618393,210.862619813,158.14696486,1.17374517375,-21.0492,-18.30505
86,8147-12701,0.0,0.456251410397,0.163967189043,59.9041534056,-51.5175718364,206.070287544,171.325878598,1.1210877373,-18.93095,-16.78815
87,8146-12701,0.0,0.147474918095,0.0869106480542,64.6964856741,-64.6964855747,221.645367417,135.383386584,1.11637931034,-20.69905,-17.97475
88,8728-12701,0.0,0.26222098902,0.131883423886,29.9520767277,-9.58466448726,227.635782753,167.731629397,1.12758145939,-20.76075,-18.0022
89,8145-12701,0.0,0.921040327159,0.195531277938,94.6485623521,-32.3482427625,237.22044729,182.108626202,1.11188204683,-19.7899,-16.87015
90,8149-12701,0.0,1.40355816866,0.225413835684,51.5175719358,-14.9760382893,216.853035149,189.297124605,1.22551928783,-19.7925,-18.0625
91,8713-12701,0.0,0.285477000802,0.135495696694,113.817891426,-58.7060702391,262.380191699,166.53354633,1.26145387905,-21.40425,-18.77635
92,8084-12701,0.0,0.460179573737,0.121091565324,69.4888179426,-13.1789136886,225.539137385,167.731629397,1.15306122449,-19.0904,-17.35115
93,8461-12701,0.0,0.769189169121,0.0475527733741,59.6046326388,-40.4353034656,608.925718863,35.9424920136,1.39130434783,-23.20665,-18.86515
94,8721-12701,0.0,0.277938033478,0.0478593074478,50.9185304022,-92.2523961185,440.295527166,75.1797124617,1.41836734694,-21.8112,-17.39865
95,8725-12701,0.0,0.242314450226,0.11821860068,174.021565549,-17.9712459571,208.466453679,144.968051121,1.22485207101,-20.808,-17.5395
96,10001-12701,0.0,1.36693013729,0.181597523667,74.2811502111,-62.3003194405,221.645367417,192.891373806,1.15847860539,-19.26895,-17.2818
97,8456-12701,0.0,0.415791903934,0.150915561407,21.5654952578,-11.9808306215,215.654952081,172.523961665,1.1818891491,-19.857,-17.9029
98,8455-12701,0.0,1.83737965371,0.273306539267,59.9041534056,-29.9520766283,219.249201283,196.485623007,1.21255060729,-20.2597,-18.3587
99,8568-12701,0.0,0.266834967264,0.0490836062931,34.7444089961,-93.4504791856,224.041533551,71.8849840271,1.33103448276,-19.3143,-15.4419
100,8462-12701,0.0,0.917010100089,0.249101226516,63.498402607,-40.7348242324,214.456869014,185.702875403,1.20695652174,-18.9626,-16.9227
