,galaxy_id,is_AGN,flux_75,flux_25,vmed_75,vmed_25,W80_75,W80_25,mean_gauss,lum_25,lum_75
0,7443-12701,0.0,0.621792509034,0.621792509034,35.4632588364,35.4632588364,293.073938847,293.073938847,1.4380952381,-19.5119,-16.42135
1,7495-12701,0.0,0.735242808252,0.735242808252,164.492743867,164.492743867,340.773406625,340.773406625,1.36016949153,-20.99495,-17.7114
2,7815-12701,0.0,1.08695145826,1.08695145826,8.84652357834,8.84652357834,204.363526836,204.363526836,1.17457627119,-17.71335,-15.79005
3,8341-12701,0.0,1.69177504064,1.69177504064,26.4252196988,26.4252196988,210.236835354,210.236835354,1.26607142857,-18.87955,-16.6745
4,8329-12701,0.0,0.335729934736,0.335729934736,18.7974903307,18.7974903307,255.049078107,255.049078107,1.10795180723,-21.70595,-19.0382
5,8319-12701,0.0,13.3681320548,13.3681320548,71.2181265206,71.2181265206,283.380553385,283.380553385,1.30188679245,-22.57195,-18.29265
6,8243-12701,0.0,0.499687749605,0.499687749605,20.5449955856,20.5449955856,243.299412383,243.299412383,1.16397415186,-22.23275,-19.1218
7,8439-12701,0.0,0.598925710781,0.598925710781,24.8641821166,24.8641821166,223.738714098,223.738714098,1.1718061674,-18.14425,-15.89215
8,8602-12701,0.0,0.938627154315,0.938627154315,26.0949686548,26.0949686548,277.394967135,277.394967135,1.19976905312,-22.32065,-18.6377
9,8615-12701,0.0,1.00335591187,1.00335591187,2.7542823738,2.7542823738,222.954097679,222.954097679,1.1857000993,-21.6065,-18.95145
10,7991-12701,0.0,1.70583971017,1.70583971017,-121.546614479,-121.546614479,220.143315255,220.143315255,1.27310231023,-20.6972,-18.5073
11,7977-12701,0.0,1.03560182082,1.03560182082,-191.647310673,-191.647310673,379.403671007,379.403671007,1.55177407676,-22.1145,-19.91625
12,7975-12701,0.0,2.69884660449,2.69884660449,-42.6465480829,-42.6465480829,188.109459651,188.109459651,1.36086956522,-22.1267,-17.6463
13,7990-12701,0.0,0.771316695352,0.771316695352,15.2400847789,15.2400847789,193.897822097,193.897822097,1.17094017094,-20.00405,-17.66675
14,8459-12701,0.0,4.86830905328,4.86830905328,27.0482482768,27.0482482768,177.113229007,177.113229007,1.33898305085,-21.54815,-17.6453
15,8483-12701,0.0,0.860886948077,0.860886948077,-3.52940444958,-3.52940444958,210.545601269,210.545601269,1.19329896907,-19.80765,-18.03205
16,8317-12701,0.0,3.12851429286,3.12851429286,11.7637284201,11.7637284201,502.020927601,502.020927601,1.53691275168,-22.9861,-18.519
17,8261-12701,0.0,0.769801876919,0.769801876919,-17.1198422456,-17.1198422456,373.465434037,373.465434037,1.26808510638,-21.8274,-17.44975
18,8451-12701,0.0,3.66665808202,3.66665808202,-66.3973356432,-66.3973356432,446.792275227,446.792275227,1.90773809524,-23.50935,-20.1282
19,8482-12701,0.0,4.54307784525,4.54307784525,29.9758011448,29.9758011448,281.098756847,281.098756847,1.15511551155,-22.84505,-18.5288
20,8082-12701,0.0,0.422270873895,0.422270873895,2.79651782542,2.79651782542,212.227551443,212.227551443,1.17788802268,-20.73785,-18.0161
21,8143-12701,0.0,0.674723725985,0.674723725985,-9.18530346489,-9.18530346489,586.701277968,586.701277968,1.62222222222,-22.7998,-18.3831
22,8256-12701,0.0,0.684325290313,0.684325290313,36.1839424773,36.1839424773,214.365178984,214.365178984,1.30357142857,-18.57395,-15.92965
23,8249-12701,0.0,0.902900013081,0.902900013081,35.7798130525,35.7798130525,213.270269171,213.270269171,1.19808306709,-18.24975,-16.28025
24,8274-12701,0.0,1.1102398235,1.1102398235,33.1165203444,33.1165203444,198.164551072,198.164551072,1.18161434978,-18.57395,-15.92965
25,8258-12701,0.0,0.376977363775,0.376977363775,-13.4450290805,-13.4450290805,213.921255408,213.921255408,1.17976470588,-19.70285,-17.3256
26,8252-12701,0.0,1.64518682712,1.64518682712,9.87899135168,9.87899135168,189.843071898,189.843071898,1.16666666667,-17.59725,-16.1778
27,8259-12701,0.0,1.32202148622,1.32202148622,5.4334333459,5.4334333459,196.774730987,196.774730987,1.12406271302,-18.1362,-16.37945
28,8244-12701,0.0,2.3371959449,2.3371959449,-2.41580679057,-2.41580679057,142.110328396,142.110328396,1.85308953342,-22.1014,-17.51735
29,8257-12701,0.0,3.62337115366,3.62337115366,30.7263180007,30.7263180007,257.856410546,257.856410546,1.39217134417,-21.02135,-19.06635
30,8440-12701,0.0,0.37841460223,0.37841460223,-10.5878957327,-10.5878957327,244.97929913,244.97929913,1.13371266003,-21.3852,-18.1158
31,8453-12701,0.0,1.04261459916,1.04261459916,39.7840256097,39.7840256097,184.11182109,184.11182109,1.1344,-20.18125,-17.58895
32,8611-12701,0.0,0.706830971668,0.706830971668,23.3648068671,23.3648068671,203.111066109,203.111066109,1.09990043146,-19.33115,-17.2673
